Id,sentence,token,score
15,"Este responsabilitatea cercetătorilor să explice ulterior ce factori lingvistici au cauzat diferitele tipuri de mișcări ale ochilor.
",ochilor,0.1818181818181818
16,"Autorul descrie în carte mai multe civilizații care au ajuns în colaps, din cauza alegerilor pe care le-au făcut și al impactului acestora asupra mediului.",cauza,0.2
17,Cartea este bine scrisă și merită să fie citită de oricine este preocupat de problemele de mediu.,problemele,0.225
18,"Lucrările expediției s-au încheiat după 18 luni, desfășurându-se cu succes, exceptând un nefericit accident provocat de funcționarea greșită a aparatelor.",aparatelor,0.1590909090909091
19,"Și, Doamne Dumnezeule, nu vor fi chiar șapte ani!",Doamne,0.1363636363636363
20,"Cei mai puțini fuseseră aceia care ascultau totul cu o ușoară ironie, vrând parcă să spună: mergeți, mergeți în Nord, printre năluci, asta are să vă satisfacă pe amândoi și mai ales pe Besian.",ironie,0.2045454545454545
21,"Primirea datelor de urmărire oculară de la mulți participanți, inclusiv de la tine, prin citirea textelor în multe limbi diferite, va constitui o bază excelentă pentru cercetarea noastră.",limbi,0.2
22,"Nu vezi niciodată o reconstituire a unui vânător-culegător mezolitic cu pielea închisă la culoare și ochii albaștri”, a spus Lalueza-Fox.
",închisă,0.1818181818181818
23,"Cu ajutorul algoritmilor de recunoaștere a imaginii, eye-tracker-ul poate estima punctele de privire cu mare precizie, cunoscând poziția capului și a ochilor, distanța față de ecranul la care se uită participantul și poziția dispozitivului.",față,0.3125
24,"Un an și jumătate înainte de sosirea expediției, care și-a luat startul din zona lui alfa din Vărsător, o altă flotă de explorare a fixat pe o orbită în jurul lui Solaris o stație automată:",flotă,0.3636363636363636
25,"Lecția pe care ne-o dă această carte minunată, dar înfricoșătoare, este aceea că, în trecut, populațiile au ales să-și distrugă mediul, prin doborârea copacilor și vânătoare, până la extincția unor specii.",copacilor,0.075
26,"Când și când stropi minusculi de ploaie brumau ferestrele trăsurii.
„Stâncile Blestemate”, spuse el în șoaptă, șovăind, așa cum pronunți numele cuiva a cărui apariție ai așteptat-o îndelung.",șoaptă,0.1136363636363636
27,"Obiectivul este de a sprijini dezvoltarea unui corpus multilingv extins de urmărire oculară și de a permite cercetătorilor să colecteze date prin împărtășirea cunoștințelor între diverse domenii, inclusiv lingvistică, psihologie, logopedie și informatică.",date,0.25
28,Aceasta va fi factorul principal care va transforma rețeaua noastră de cercetare într-un demers de succes.,demers,0.5
29,În acea epocă trecea drept sigură teoria lui Gamow-Shapley privind imposibilitatea apariției vieții pe planetele stelelor duble.,epocă,0.3409090909090909
30,"La urma-urmei nu putem să-ți spunem decât: bravo ție!
",urma-urmei,0.4444444444444444
31,"După cum spuneam, mă uit pe fereastră și zăresc ierburi, arbuști și unu-doi copăcei, nimic altceva care ar fi putut ajuta la deplasarea statuilor imense.",copăcei,0.05
32,"Ea zâmbi cu gândul aiurea, amintindu-și titlul articolului dedicat călătoriei lor.",călătoriei,0.1818181818181818
33,"Lucrările expediției s-au încheiat după 18 luni, desfășurându-se cu succes, exceptând un nefericit accident provocat de funcționarea greșită a aparatelor.",desfășurându,0.3636363636363636
34,"S-ar putea ca, pentru o poveste, faptul acesta să nu fie un neajuns, ci, mai curând, un avantaj; se cuvine doar ca povestirile să aparțină trecutului, întrucât, se poate spune, cu cât s-au petrecut într-o vreme mai îndepărtată, cu atât răspund mai precis exigențelor povestirii, și acest fapt este cu atât mai favorabil pentru povestitor, adică pentru evocatorul în șoaptă al timpului trecut.",șoaptă,0.3409090909090909
35,„Majoritatea acestor idei s-au dovedit a fi complet greșite.,dovedit,0.2
36,"În această dispută, care a atras în vâltoarea ei în numai câteva săptămâni cele mai mari autorități, doctrina lui Gamow-Shapley a început să se clatine pentru prima oară în decurs de opt decenii.",decurs,0.2954545454545454
37,Titlul proiectului Acțiunii COST MultiplEYE este: Facilitarea colectării datelor de urmărire oculară în mai multe limbi pentru cercetarea procesării limbajului de către om și a procesării automate.,procesării,0.4772727272727273
38,"Pe baza analizelor efectuate, acesta a fost recunoscut drept un produs organic (nimeni nu îndrăznea pe atunci să-l considere ca fiind viu).",produs,0.3181818181818182
39,"”
Echipa spaniolă și-a început munca după ce un grup de speologi a descoperit, în 2006, două schelete într-un sistem de peșteri complex și adânc situat în Munții Cantabrici, în nord-vestul Spaniei.",Munții,0.1
40,"Acțiunile COST sunt rețele de cercetare sprijinite de Cooperarea Europeană în Știință și Tehnologie, pe scurt COST.",sprijinite,0.3636363636363636
41,"Vântul de Nord și Soarele

Vântul de Nord și Soarele se certau, fiecare pretinzând că el era mai puternic, când a venit un călător purtând o haină grea.",Nord,0.125
42,"După cum spuneam, mă uit pe fereastră și zăresc ierburi, arbuști și unu-doi copăcei, nimic altceva care ar fi putut ajuta la deplasarea statuilor imense.",putut,0.125
43,"Pentru Pământ, Luna a fost, în afară de Soare, cel mai influent obiect ceresc, în special datorită influenței sale gravitaționale, fiind principalul factor care determină mareele Pământului.",determină,0.2272727272727272
44,"Ea se desfășoară sau - pentru a evita cu bună știință orice urmă de prezent - se desfășura, adică s-a desfășurat odinioară, cândva, în acele apuse zile șase ale lumii dinaintea Marelui Război, cu al cărui început atâtea întâmplări au început, și care care de atunci fără îndoială abia au încetat să înceapă.",întâmplări,0.4318181818181818
45,"Aceste activități includ întâlniri ale grupurilor de lucru, școli de formare pentru a împărtăși abilități cu cercetătorii mai tineri și vizite științifice de cercetare.",grupurilor,0.3181818181818182
46,MultiplEYE este o Acțiune COST finanțată de Uniunea Europeană.,COST,0.6363636363636364
47,"Cu ajutorul algoritmilor de recunoaștere a imaginii, eye-tracker-ul poate estima punctele de privire cu mare precizie, cunoscând poziția capului și a ochilor, distanța față de ecranul la care se uită participantul și poziția dispozitivului.",ochilor,0.0909090909090909
48,La acest eveniment participă o profesoară de la universitatea din apropiere.,profesoară,0.15
49,"La vreo patru ani după această descoperire, expediția lui Ottenskjold a dat ocol planetei, cercetând-o de pe astronava „Laokoon”.",dat,0.1818181818181818
50,"Aria lor totală n-o atingea pe aceea a Europei, deși Solaris avea un diametru cu douăzeci la sută mai mare decât Pământul.",Pământul,0.0681818181818181
51,"Lecția pe care ne-o dă această carte minunată, dar înfricoșătoare, este aceea că, în trecut, populațiile au ales să-și distrugă mediul, prin doborârea copacilor și vânătoare, până la extincția unor specii.",ales,0.1
52,Mi-am încheiat activitatea pe teren și mă voi întoarce acasă.,întoarce,0.075
53,"Și, Doamne Dumnezeule, nu vor fi chiar șapte ani!",Dumnezeule,0.0909090909090909
54,"Când au debarcat primii europeni pe insulă în 1722, statuile erau încă acolo, dar arborii dispăruseră.
",arborii,0.25
55,"Cel mai potrivit este să nu se întrebe dinainte cât timp se va scurge pe pământ, în vreme ce povestirea aceasta îl va ține în mrejele sale.",ține,0.3409090909090909
56,"Alte decizii care par mai puțin relevante, dar sunt de fapt foarte importante, includ tipul și dimensiunea fontului în care este prezentat textul, ordinea textelor, procedura experimentului și modul în care vor fi procesate datele.
",procesate,0.4
57,"El făcu un semn, apoi îi arătă cu mâna într-acolo, dar în direcția aceea ea nu zări nimic altceva decât o îmbulzeală de neguri.
",arătă,0.1818181818181818
58,"Autorul speculează că împuținarea resurselor naturale a condus la războaie civile și la colapsul societății de pe Rapa Nui.
",condus,0.175
59,"Au descoperit că ADN-ul antic se potrivea cel mai bine cu structura genetică a oamenilor care trăiesc în nordul Europei, în special în Suedia și Finlanda.",structura,0.3181818181818182
60,"Ea a fixat pe orbitele ecuatoriale și polare un mare număr de sateliți automați de observație, a căror sarcină principală era să măsoare potențialele gravifice.",automați,0.4772727272727273
61,"Bărbatul din mezolitic, care a trăit în Spania acum aproximativ 7.000 de ani, avea o combinație neobișnuită de ochi albaștri, păr negru sau castaniu și piele închisă la culoare, conform analizelor structurii sale genetice.",mezolitic,0.825
62,Un exemplu legat de procesarea computațională a textului ar putea implica utilizarea datelor de urmărire oculară pentru a îmbunătăți aplicațiile de inteligență artificială care imită procesul de citire uman.,putea,0.15
63,"Acesta constă într-o cameră cu infraroșu, folosind o frecvență de lumină care nu deranjează sau rănește ochiul uman.",lumină,0.1136363636363636
64,"În numai câțiva ani însă, cercetătorii s-au convins că orbita planetei suferă modificări cu totul neașteptate, de parcă ar fi fost stabilă, la fel de stabilă ca și orbitele planetelor sistemului nostru solar.
",cercetătorii,0.375
65,"Dar ca să nu întunecăm cu meșteșugire o stare limpede a faptelor, iată despre ce este vorba: nemărginita vechime a povestirii noastre izvorăște din aceea că se desfășoară înaintea unei anumite răsturnări și a unui anumit hotar care a tulburat adânc Viața și Conștiința...",tulburat,0.4090909090909091
66,"Totuși, se poate ca oamenii de știință să fi supraestimat impactul pe care l-a avut agricultura asupra sistemului imunitar uman, deoarece testele ADN-ului vânătorului-culegător au arătat că acesta avea deja mutații care întăresc sistemul imunitar împotriva diferitelor infecții neplăcute.",mutații,0.5
67,"Așadar, fizicienii, și nu biologii, au emis paradoxala expresie de „mașină plasmatică”, înțelegând prin aceasta un obiect care, deși, conform concepției noastre, poate fi considerat neînsuflețit, este totuși capabil să acționeze într- un scop vădit și la o scară ― e bine s-o subliniem ― astronomică.
",subliniem,0.4090909090909091
68,"Bărbatul din mezolitic, care a trăit în Spania acum aproximativ 7.000 de ani, avea o combinație neobișnuită de ochi albaștri, păr negru sau castaniu și piele închisă la culoare, conform analizelor structurii sale genetice.",ani,0.025
69,"Primirea datelor de urmărire oculară de la mulți participanți, inclusiv de la tine, prin citirea textelor în multe limbi diferite, va constitui o bază excelentă pentru cercetarea noastră.",Primirea,0.125
70,"Iată o imagine cu aceste statui masive.
",statui,0.2
71,Ce s-a întâmplat cu plantele și cu acei copaci uriași care au ajutat la deplasarea moai-lor?,plantele,0.1
72,"Muntele vrăjit - Expunere premergătoare

Povestea lui Hans Castorp, pe care avem intenția s-o istorisim, nu de dragul lui (căci lectorul va învăța a-l cunoaște ca pe un tânăr modest și deopotrivă de simpatic), ci de acela al întâmplării însăși care ni se pare demnă în cel mai înalt grad de a fi relatată (și în legătură cu aceasta este totuși potrivit să reamintim că e povestea sa și că un eveniment oarecare nu se întâmplă oricui): așadar, povestea aceasta s-a petrecut cu multă vreme în urmă, și este, ca să spunem așa, acoperită de patina istorică, astfel că e absolut necesar să fie prezentată sub înfățișarea trecutului celui mai îndepărtat.
",patina,0.6818181818181818
73,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",biblioteca,0.175
74,Ei s-au înțeles că cel care va reuși să-l determine pe călător să își scoată haina va fi recunoscut drept cel mai puternic.,călător,0.2045454545454545
75,"Fără a ne teme că ne expunem învinuirii de-a fi exagerat de meticuloși, înclinăm dimpotrivă să credem că plăcut cu adevărat este numai ceea ce-i lucrat cu îngrijire.
",înclinăm,0.5454545454545454
76,"Invenția agriculturii a adus oamenii și animalele în contact mult mai strâns, iar oamenii probabil au dezvoltat sisteme imunitare mai robuste pentru a face față infecțiilor transmise de animale.",sisteme,0.375
77,Dispozitivul utilizat pentru a măsura pozițiile și mișcările ochilor se numește eye-tracker.,utilizat,0.1818181818181818
78,"Câtva timp chestiunea a părut scandaloasă, de bizarul rezultat al observațiilor fiind acuzați (din grijă pentru binele științei) când anumiți oameni, când mașinile de calcul de care se serveau aceștia.
",rezultat,0.2954545454545454
79,"Vântul de Nord suflă cât putu de tare, dar cu cât sufla mai tare, cu atât călătorul își strângea mai bine haina în jurul său, iar într-un final Vântul de Nord a fost nevoit să renunțe.",jurul,0.2045454545454545
80,"Până atunci, poate dorești să investighezi misterul pe cont propriu.",misterul,0.325
81,Dispozitivul utilizat pentru a măsura pozițiile și mișcările ochilor se numește eye-tracker.,eye-tracker,0.5625
82,"„Un eveniment încântător: Scriitorul Besian Vorps și tânăra lui soție, Diana, au hotărât să-și petreacă luna de miere în masivul muntos din nord!",luna,0.1136363636363636
83,"Lecția pe care ne-o dă această carte minunată, dar înfricoșătoare, este aceea că, în trecut, populațiile au ales să-și distrugă mediul, prin doborârea copacilor și vânătoare, până la extincția unor specii.",populațiile,0.2
84,"După cum era de așteptat, nicăieri n-au fost găsite urme de viață ― nici pe uscat, nici în ocean.
",așteptat,0.2727272727272727
85,"au fost reluate și calculele care au confirmat numai ceea ce era cunoscut: din punct de vedere mecanic, Solaris avea o orbită instabilă.",punct,0.4090909090909091
86,"A fost analizată componența atmosferei, care s-a dovedit a fi lipsită de oxigen; au fost efectuate măsurători deosebit de precise privind densitatea planetei, albedoul și alte elemente astronomice.",efectuate,0.3541666666666667
87,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.
",Rapa,0.75
88,"Acesta constă într-o cameră cu infraroșu, folosind o frecvență de lumină care nu deranjează sau rănește ochiul uman.",constă,0.3
89,Echipa spaniolă a comparat apoi genomul vânătorului-culegător cu cel al europenilor moderni din diferite regiuni pentru a vedea cum ar putea fi înrudiți.,vedea,0.0681818181818181
90,S-a dezvoltat astfel o civilizație înfloritoare de aproape 15000 de locuitori.,civilizație,0.25
91,"Potrivit autorului, Rapa Nui a început să fie locuită de polinezieni pe la 700 e.n.",polinezieni,0.625
92,Datele pe care le-a cules au confirmat finalmente observațiile expediției lui Ottenskjold privind caracterul activ al mișcărilor oceanului.,Datele,0.1590909090909091
93,"Aprilie Spulberat - Capitolul al treilea

Nelăsând mâna soției dintr-a sa, Besian Vorps se dădu aproape de geam și încercă să se convingă că orășelul pe care-l părăsiseră cu o jumătate de oră în urmă, ultimul oraș la poalele masivului muntos din nord, dispăruse în cele din urmă din raza vederii.",încercă,0.1818181818181818
94,"Prin urmare, povestitorul nu va sfârși cât ai bate din palme istoria lui Hans.",istoria,0.1590909090909091
95,"www.blogulprofesoarei.ro/munca-de-teren/RapaNui
Blogul profesoarei
Postat pe 23 mai, 11:22
Mă uit pe fereastră de dimineață și văd peisajul pe care m-am deprins să-l îndrăgesc aici, pe Rapa Nui, care se mai numește și Insula Paștelui.",Insula,0.125
96,"Au descoperit că ADN-ul antic se potrivea cel mai bine cu structura genetică a oamenilor care trăiesc în nordul Europei, în special în Suedia și Finlanda.",ADN,0.3636363636363636
97,"S-ar putea ca, pentru o poveste, faptul acesta să nu fie un neajuns, ci, mai curând, un avantaj; se cuvine doar ca povestirile să aparțină trecutului, întrucât, se poate spune, cu cât s-au petrecut într-o vreme mai îndepărtată, cu atât răspund mai precis exigențelor povestirii, și acest fapt este cu atât mai favorabil pentru povestitor, adică pentru evocatorul în șoaptă al timpului trecut.",exigențelor,0.6818181818181818
98,"Datarea cu carbon a plasat rămășițele în urmă cu aproximativ 7.000 de ani, înainte ca agricultura să fi ajuns în Europa din Orientul Mijlociu.",ani,0.0227272727272727
99,"Sperăm să deschidem calea pentru avansarea cercetării în diverse subdomenii ale lingvisticii prin sprijinirea și conectarea unui grup mare de cercetători.
",calea,0.25
100,"În numai câțiva ani însă, cercetătorii s-au convins că orbita planetei suferă modificări cu totul neașteptate, de parcă ar fi fost stabilă, la fel de stabilă ca și orbitele planetelor sistemului nostru solar.
",planetelor,0.1590909090909091
101,"Te măriți cu un om neobișnuit, de la care vei auzi doar lucruri neobișnuite.",lucruri,0.0909090909090909
102,"Nu-i vor fi suficiente nici cele șapte zile ale săptămânii, și nici șapte luni.",luni,0.0681818181818181
103,"Dacă însă biologii vedeau în acea sferă lichidă o formă primitivă de viață ― ceva în genul unei colonii uriașe sau ceva asemănător cu o gigantică și unică celulă degenerată în creșterea ei (denumită „formație pre-biologică”) și a cărei manta gelatinoasă, pe alocuri adâncă de câteva mile, ar fi cuprins întregul glob, astronomii și fizicienii afirmau că ea trebuie să fie o structură aflată într-un stadiu de organizare atât de înalt încât nu era exclus să întreacă în complexitate organismele pământene, de vreme ce putea influența în mod activ forma orbitei planetare.
",glob,0.4318181818181818
104,"Când și când stropi minusculi de ploaie brumau ferestrele trăsurii.
„Stâncile Blestemate”, spuse el în șoaptă, șovăind, așa cum pronunți numele cuiva a cărui apariție ai așteptat-o îndelung.",stropi,0.2083333333333333
105,"Din pricina perturbațiilor produse prin necontenita distorsiune a orbitei planetare, germenii de viață, chiar dacă apar, sunt distruși de alternanța arșiței și a înghețului.",pricina,0.4318181818181818
106,"1,28 secunde lumină), sau aproximativ de 30 de ori diametrul Pământului.
",Pământului,0.1363636363636363
107,În acea epocă trecea drept sigură teoria lui Gamow-Shapley privind imposibilitatea apariției vieții pe planetele stelelor duble.,stelelor,0.2727272727272727
108,Ea își puse iar mâna peste mâna lui și se lăsă pe spătarul canapelei.,puse,0.0909090909090909
109,"Omul cavernelor cu pielea închisă și ochii albaștri, dezvăluit

ADN-ul extras dintr-un molar de minte al unui vânător-culegător european le-a oferit oamenilor de știință o perspectivă fără precedent asupra oamenilor moderni înainte de apariția agriculturii.",cavernelor,0.5227272727272727
110,"Prin urmare, povestitorul nu va sfârși cât ai bate din palme istoria lui Hans.",sfârși,0.25
111,"Alte decizii care par mai puțin relevante, dar sunt de fapt foarte importante, includ tipul și dimensiunea fontului în care este prezentat textul, ordinea textelor, procedura experimentului și modul în care vor fi procesate datele.
",dimensiunea,0.1818181818181818
112,"Bărbatul din mezolitic, care a trăit în Spania acum aproximativ 7.000 de ani, avea o combinație neobișnuită de ochi albaștri, păr negru sau castaniu și piele închisă la culoare, conform analizelor structurii sale genetice.",combinație,0.25
113,"În această dispută, care a atras în vâltoarea ei în numai câteva săptămâni cele mai mari autorități, doctrina lui Gamow-Shapley a început să se clatine pentru prima oară în decurs de opt decenii.",dispută,0.4090909090909091
114,"Aceste statui impresionante au fost tăiate într-o singură carieră, în partea estică a insulei.",statui,0.075
115,"Dar caracterul trecut al unei povestiri nu este cu atât mai profund, mai împlinit și mai legendar cu cât se desfășoară mai apropiat de „odinioară”?
",desfășoară,0.5454545454545454
116,"Dar ca să nu întunecăm cu meșteșugire o stare limpede a faptelor, iată despre ce este vorba: nemărginita vechime a povestirii noastre izvorăște din aceea că se desfășoară înaintea unei anumite răsturnări și a unui anumit hotar care a tulburat adânc Viața și Conștiința...",povestirii,0.3863636363636363
117,"Această expediție a avut un caracter provizoriu, de recunoaștere numai, cu atât mai mult cu cât nu era prevăzută pentru descindere.",expediție,0.2291666666666666
118,"Acest lucru ar putea fi folosit pentru a construi sisteme mai bune de traducere automată sau pentru a îmbunătăți extragerea automată a cuvintelor cheie din text.
",construi,0.175
119,"Acest lucru oferă informații despre cât timp petreci uitându-te la un text sau, mai specific, cât timp ai petrecut pe fiecare cuvânt, ce cuvinte ai sărit, asupra căror cuvinte te-ai oprit și dacă a trebuit să revii și să recitești părți ale textului pentru a-l înțelege mai bine.
",informații,0.1363636363636363
120,"Muntele vrăjit - Expunere premergătoare

Povestea lui Hans Castorp, pe care avem intenția s-o istorisim, nu de dragul lui (căci lectorul va învăța a-l cunoaște ca pe un tânăr modest și deopotrivă de simpatic), ci de acela al întâmplării însăși care ni se pare demnă în cel mai înalt grad de a fi relatată (și în legătură cu aceasta este totuși potrivit să reamintim că e povestea sa și că un eveniment oarecare nu se întâmplă oricui): așadar, povestea aceasta s-a petrecut cu multă vreme în urmă, și este, ca să spunem așa, acoperită de patina istorică, astfel că e absolut necesar să fie prezentată sub înfățișarea trecutului celui mai îndepărtat.
",avem,0.0681818181818181
121,Simți cum cele două cuvinte îi provoacă femeii o tresărire vizibilă și reacția ei îl încântă.,tresărire,0.5
122,„Vezi o mulțime de reconstituiri ale acestor oameni care vânează și culeg și care arată ca europenii moderni cu pielea deschisă la culoare.,vânează,0.1136363636363636
123,Urmărirea oculară este o tehnologie utilă pentru multe aplicații.,aplicații,0.25
124,"Nu se înțelegea bine dacă autorul său, un anume A.G. (să fi fost, oare, cunoștința lor comună Adrian Guma?) le elogia inițiativa sau dădea glas unei invidii voalate.
",inițiativa,0.2727272727272727
125,"Din pricina perturbațiilor produse prin necontenita distorsiune a orbitei planetare, germenii de viață, chiar dacă apar, sunt distruși de alternanța arșiței și a înghețului.",produse,0.3636363636363636
126,"totodată, ei au exagerat cu vânarea speciilor de păsări marine și de uscat, care au populat cândva insula.",speciilor,0.35
127,Simți cum cele două cuvinte îi provoacă femeii o tresărire vizibilă și reacția ei îl încântă.,încântă,0.25
128,"Muntele vrăjit - Expunere premergătoare

Povestea lui Hans Castorp, pe care avem intenția s-o istorisim, nu de dragul lui (căci lectorul va învăța a-l cunoaște ca pe un tânăr modest și deopotrivă de simpatic), ci de acela al întâmplării însăși care ni se pare demnă în cel mai înalt grad de a fi relatată (și în legătură cu aceasta este totuși potrivit să reamintim că e povestea sa și că un eveniment oarecare nu se întâmplă oricui): așadar, povestea aceasta s-a petrecut cu multă vreme în urmă, și este, ca să spunem așa, acoperită de patina istorică, astfel că e absolut necesar să fie prezentată sub înfățișarea trecutului celui mai îndepărtat.
",vreme,0.2045454545454545
129,"Declarația universală a drepturilor omului - Preambul 

Considerând că recunoașterea demnității inerente tuturor membrilor familiei umane și a drepturilor lor egale și inalienabile constituie fundamentul libertății, dreptății și păcii în lume,
Considerând că ignorarea și disprețuirea drepturilor omului au dus la acte de barbarie care revoltă conștiința omenirii și că făurirea unei lumi în care ființele umane se vor bucura de libertatea cuvântului și a convingerilor și vor fi eliberate de teamă și mizerie a fost proclamată drept cea mai înaltă aspirație a oamenilor,
Considerând că este esențial ca drepturile omului să fie ocrotite de autoritatea legii pentru ca omul să nu fie silit să recurgă, ca soluție extremă, la revoltă împotriva tiraniei și asupririi,
Considerând că este esențial a se încuraja dezvoltarea relațiilor prietenești între națiuni,
Considerând că în Cartă popoarele Organizației Națiunilor Unite au proclamat din nou credința lor în drepturile fundamentale ale omului, în demnitatea și în valoarea persoanei umane, drepturi egale pentru bărbați și femei și că au hotărât să favorizeze progresul social și îmbunătățirea condițiilor de viață în cadrul unei libertăți mai mari,
Considerând că statele membre s-au angajat să promoveze în colaborare cu Organizația Națiunilor Unite respectul universal și efectiv față de drepturile omului și libertățile fundamentale, precum și respectarea lor universală și efectivă,
Considerând că o concepție comună despre aceste drepturi și libertăți este de cea mai mare importanță pentru realizarea deplină a acestui angajament,
Adunarea Generală proclamă prezenta Declarație Universală a Drepturilor Omului, ca ideal comun spre care trebuie să tindă toate popoarele și toate națiunile, pentru ca toate persoanele și toate organele societății să se străduiască, având această  Declarație permanent în minte, ca prin învățătură și educație să dezvolte respectul pentru aceste drepturi și libertăți și să asigure prin măsuri progresive, de ordin național și internațional, recunoașterea și aplicarea lor universală și efectivă, atât în sânul popoarelor statelor membre, cât și al celor din teritoriile aflate sub jurisdicția lor.",făurirea,0.625
130,"Cu ajutorul algoritmilor de recunoaștere a imaginii, eye-tracker-ul poate estima punctele de privire cu mare precizie, cunoscând poziția capului și a ochilor, distanța față de ecranul la care se uită participantul și poziția dispozitivului.",imaginii,0.1818181818181818
131,"Fără a ne teme că ne expunem învinuirii de-a fi exagerat de meticuloși, înclinăm dimpotrivă să credem că plăcut cu adevărat este numai ceea ce-i lucrat cu îngrijire.
",expunem,0.5
132,"În această dispută, care a atras în vâltoarea ei în numai câteva săptămâni cele mai mari autorități, doctrina lui Gamow-Shapley a început să se clatine pentru prima oară în decurs de opt decenii.",doctrina,0.5681818181818182
133,"El făcu un semn, apoi îi arătă cu mâna într-acolo, dar în direcția aceea ea nu zări nimic altceva decât o îmbulzeală de neguri.
",zări,0.5
134,"Proiectul MultiplEYE

Numele „MultiplEYE” este un joc de cuvinte care combină „multilingvism” sau „limbi multiple” cu „eye” (ochi) din „eye-tracking” (urmărire oculară).",Numele,0.1136363636363636
135,"Probabil era intolerant la lactoză și digera mai greu alimentele bogate în amidon decât fermierii care și-au transformat dietele și stilurile de viață odată cu prima revoluție agricolă.
",digera,0.275
136,"A fost analizată componența atmosferei, care s-a dovedit a fi lipsită de oxigen; au fost efectuate măsurători deosebit de precise privind densitatea planetei, albedoul și alte elemente astronomice.",elemente,0.3863636363636363
137,"Dar se întâmplă cu ea ca și cu oamenii de astăzi și la urma urmelor și cu povestitorii: e cu mult mai bătrână decât vârsta lor, vechimea-i nu se poate măsura în zile, iar timpul care o apasă nu se măsoară cu revoluții în jurul soarelui; pe scurt, treapta sa de vechime nu timpului și-o datorează și, prin această observație, înțelegem să facem aluzie la dubla esență, îndoielnică și ciudată, a acestui tainic element.
",înțelegem,0.25
138,"Omul cavernelor cu pielea închisă și ochii albaștri, dezvăluit

ADN-ul extras dintr-un molar de minte al unui vânător-culegător european le-a oferit oamenilor de știință o perspectivă fără precedent asupra oamenilor moderni înainte de apariția agriculturii.",ADN,0.4166666666666667
139,"Influențează oare tipul de scriere, de exemplu, alfabetul latin față de scrierea chirilică sau arabă, timpii de citire?",față,0.225
140,Echipa spaniolă a comparat apoi genomul vânătorului-culegător cu cel al europenilor moderni din diferite regiuni pentru a vedea cum ar putea fi înrudiți.,regiuni,0.3863636363636363
141,"În mod optimist, autorul arată că noi putem să nu facem aceleași greșeli astăzi.",greșeli,0.15
142,"Vântul de Nord suflă cât putu de tare, dar cu cât sufla mai tare, cu atât călătorul își strângea mai bine haina în jurul său, iar într-un final Vântul de Nord a fost nevoit să renunțe.",călătorul,0.2045454545454545
143,"De ce urmărirea oculară în timpul citirii prezintă interes pentru proiectul nostru?
",prezintă,0.25
144,"Din pricina perturbațiilor produse prin necontenita distorsiune a orbitei planetare, germenii de viață, chiar dacă apar, sunt distruși de alternanța arșiței și a înghețului.",perturbațiilor,0.7045454545454546
145,"Vechimea se potrivea cu artefactele antice descoperite la fața locului, inclusiv dinți de ren perforați, care erau șiruiți și agățați de hainele oamenilor.
",fața,0.25
146,"În numai câțiva ani însă, cercetătorii s-au convins că orbita planetei suferă modificări cu totul neașteptate, de parcă ar fi fost stabilă, la fel de stabilă ca și orbitele planetelor sistemului nostru solar.
",orbita,0.325
